Date,Open,High,Low,Close,Volume,Currency
5/5/2014,1300.9,1315.8,1299.7,1309.3,115634,USD
5/6/2014,1309.7,1314.3,1304.4,1308.6,103408,USD
5/7/2014,1307.9,1315,1286.6,1288.9,173803,USD
5/8/2014,1289.8,1295.5,1284.8,1287.7,118107,USD
5/9/2014,1289.6,1294.5,1285.5,1287.6,110471,USD
5/12/2014,1289.8,1304.5,1277.7,1295.8,130809,USD
5/13/2014,1296,1299,1289.1,1294.8,120873,USD
5/14/2014,1293.9,1309.2,1291.6,1305.9,120327,USD
5/15/2014,1305.5,1307.3,1290.9,1293.6,147392,USD
5/16/2014,1296.4,1298.3,1287.7,1293.4,116836,USD
5/19/2014,1293,1305.7,1289.5,1293.8,108500,USD
5/20/2014,1293,1297.2,1286,1294.6,129486,USD
5/21/2014,1294.2,1296.3,1282.9,1288.1,126006,USD
5/22/2014,1292,1304.1,1290.1,1295,128235,USD
5/23/2014,1294.3,1295.7,1286.6,1291.7,146979,USD
5/26/2014,1293.6,1294.8,1263.2,1265.5,252104,USD
5/28/2014,1264,1267.3,1255.8,1259.3,168825,USD
5/29/2014,1258.9,1261.5,1251.4,1257.1,140234,USD
5/30/2014,1255.9,1260.6,1242.2,1246,136541,USD
6/2/2014,1250.5,1251,1241.1,1244,91403,USD
6/3/2014,1244.1,1247.9,1240.2,1244.5,90049,USD
6/4/2014,1244.9,1249.5,1242.8,1244.3,76990,USD
6/5/2014,1244.3,1257.9,1241.2,1253.3,125573,USD
6/6/2014,1253.7,1258.2,1245.7,1252.5,112940,USD
6/9/2014,1253,1257.3,1251.6,1253.9,53765,USD
6/10/2014,1252.7,1263.8,1250.1,1260.1,107080,USD
6/11/2014,1260.3,1265.5,1257.9,1261.2,77036,USD
6/12/2014,1261.1,1275.1,1260,1274,117418,USD
6/13/2014,1273.4,1278.1,1270.9,1274.1,83626,USD
6/16/2014,1276.8,1285.1,1270.5,1275.3,98247,USD
6/17/2014,1271.8,1273.5,1258,1272,112826,USD
6/18/2014,1272.1,1279.2,1266.5,1272.7,87914,USD
6/19/2014,1278.2,1322,1276.2,1314.1,237994,USD
6/20/2014,1320.3,1322.5,1307.1,1316.6,167785,USD
6/23/2014,1314.9,1319.2,1310.4,1318.4,109392,USD
6/24/2014,1318.1,1326.6,1314.5,1321.3,123877,USD
6/25/2014,1318.9,1325.6,1305.4,1322.6,136623,USD
6/26/2014,1318.7,1320.6,1306.8,1317,134789,USD
6/27/2014,1317.1,1323.1,1313.2,1320,104663,USD
6/30/2014,1316.8,1330.4,1311,1322,127612,USD
7/1/2014,1327.5,1334.9,1324,1326.6,121098,USD
7/2/2014,1327.1,1333.2,1322.1,1330.9,114091,USD
7/3/2014,1328.4,1329,1309.4,1320.6,149377,USD
7/4/2014,1321.4,1321.7,1312.1,1317,113065,USD
7/8/2014,1320.8,1325.7,1314.3,1316.5,130081,USD
7/9/2014,1320.4,1333.4,1318.7,1324.3,163179,USD
7/10/2014,1325,1346.8,1325,1339.2,179492,USD
7/11/2014,1336.5,1340.4,1334.6,1337.4,97170,USD
7/14/2014,1339.5,1340.9,1302.2,1306.7,208856,USD
7/15/2014,1309.1,1314.4,1292.6,1297.1,175878,USD
7/16/2014,1295.2,1304.2,1293.5,1299.8,119719,USD
7/17/2014,1300.3,1325.9,1298.1,1316.9,176744,USD
7/18/2014,1319.1,1325.5,1305,1309.4,121624,USD
7/21/2014,1311.3,1319,1307.9,1313.9,85369,USD
7/22/2014,1312.4,1316.8,1302.2,1306.3,127494,USD
7/23/2014,1308,1311.8,1303.5,1304.7,86756,USD
7/24/2014,1304.3,1305.6,1287.5,1290.8,178767,USD
7/25/2014,1294.2,1308.9,1291,1303.3,131242,USD
7/28/2014,1307.9,1309.4,1301.1,1303.3,136981,USD
7/29/2014,1303.3,1312.1,1295.5,1298.3,181554,USD
7/30/2014,1300.5,1305.2,1293.2,1296.9,130868,USD
7/31/2014,1297,1298.8,1281.3,1282.8,143363,USD
8/1/2014,1284.2,1298.4,1281,1294.8,144988,USD
