Date,Open,High,Low,Close,Adj Close,Volume
4-Sep-12,"1,406.54","1,409.31","1,396.56",1404.94,"1,404.94","3,200,310,000"
31-Aug-12,"1,400.07","1,413.09","1,398.96",1406.58,"1,406.58","2,938,250,000"
30-Aug-12,"1,410.08","1,410.08","1,397.01",1399.48,"1,399.48","2,530,280,000"
29-Aug-12,"1,409.32","1,413.95","1,406.57",1410.49,"1,410.49","2,571,220,000"
28-Aug-12,"1,410.44","1,413.63","1,405.59",1409.30,"1,409.30","2,629,090,000"
27-Aug-12,"1,411.13","1,416.17","1,409.11",1410.44,"1,410.44","2,472,500,000"
24-Aug-12,"1,401.99","1,413.46","1,398.04",1411.13,"1,411.13","2,598,790,000"
23-Aug-12,"1,413.49","1,413.49","1,400.50",1402.08,"1,402.08","3,008,240,000"
22-Aug-12,"1,413.09","1,416.12","1,406.78",1413.49,"1,413.49","3,062,690,000"
21-Aug-12,"1,418.13","1,426.68","1,410.86",1413.17,"1,413.17","3,282,950,000"
20-Aug-12,"1,417.85","1,418.13","1,412.12",1418.13,"1,418.13","2,766,320,000"
17-Aug-12,"1,415.84","1,418.71","1,414.67",1418.16,"1,418.16","2,922,990,000"
16-Aug-12,"1,405.57","1,417.44","1,404.15",1415.51,"1,415.51","3,114,100,000"
15-Aug-12,"1,403.89","1,407.73","1,401.83",1405.53,"1,405.53","2,655,750,000"
14-Aug-12,"1,404.36","1,410.03","1,400.60",1403.93,"1,403.93","2,930,900,000"
13-Aug-12,"1,405.87","1,405.87","1,397.32",1404.11,"1,404.11","2,499,990,000"
10-Aug-12,"1,402.58","1,405.98","1,395.62",1405.87,"1,405.87","2,767,980,000"
9-Aug-12,"1,402.26","1,405.95","1,398.80",1402.80,"1,402.80","3,119,610,000"
8-Aug-12,"1,401.23","1,404.14","1,396.13",1402.22,"1,402.22","3,221,790,000"
7-Aug-12,"1,394.46","1,407.14","1,394.46",1401.35,"1,401.35","3,682,490,000"
6-Aug-12,"1,391.04","1,399.63","1,391.04",1394.23,"1,394.23","3,122,050,000"
3-Aug-12,"1,365.45","1,394.16","1,365.45",1390.99,"1,390.99","3,751,170,000"
2-Aug-12,"1,375.13","1,375.13","1,354.65",1365.00,"1,365.00","4,193,740,000"
1-Aug-12,"1,379.32","1,385.03","1,373.35",1375.32,"1,375.32","4,440,920,000"
31-Jul-12,"1,385.27","1,387.16","1,379.17",1379.32,"1,379.32","3,821,570,000"
30-Jul-12,"1,385.94","1,391.74","1,381.37",1385.30,"1,385.30","3,212,060,000"
27-Jul-12,"1,360.05","1,389.19","1,360.05",1385.97,"1,385.97","4,399,010,000"
26-Jul-12,"1,338.17","1,363.13","1,338.17",1360.02,"1,360.02","4,429,300,000"
25-Jul-12,"1,338.35","1,343.98","1,331.50",1337.89,"1,337.89","3,719,170,000"
24-Jul-12,"1,350.52","1,351.53","1,329.24",1338.31,"1,338.31","3,891,290,000"
23-Jul-12,"1,362.34","1,362.34","1,337.56",1350.52,"1,350.52","3,717,180,000"
20-Jul-12,"1,376.51","1,376.51","1,362.19",1362.66,"1,362.66","3,925,020,000"
19-Jul-12,"1,373.01","1,380.39","1,371.21",1376.51,"1,376.51","4,043,360,000"
18-Jul-12,"1,363.58","1,375.26","1,358.96",1372.78,"1,372.78","3,642,630,000"
17-Jul-12,"1,353.68","1,365.36","1,345.07",1363.67,"1,363.67","3,566,680,000"
16-Jul-12,"1,356.50","1,357.26","1,348.51",1353.64,"1,353.64","2,862,720,000"
13-Jul-12,"1,334.81","1,357.70","1,334.81",1356.78,"1,356.78","3,212,930,000"
12-Jul-12,"1,341.29","1,341.29","1,325.41",1334.76,"1,334.76","3,654,440,000"
11-Jul-12,"1,341.40","1,345.00","1,333.25",1341.45,"1,341.45","3,426,290,000"
10-Jul-12,"1,352.96","1,361.54","1,336.27",1341.47,"1,341.47","3,470,600,000"
9-Jul-12,"1,354.66","1,354.87","1,346.65",1352.46,"1,352.46","2,904,860,000"
6-Jul-12,"1,367.09","1,367.09","1,348.03",1354.68,"1,354.68","2,745,140,000"
5-Jul-12,"1,373.72","1,373.85","1,363.02",1367.58,"1,367.58","3,041,520,000"
3-Jul-12,"1,365.75","1,374.81","1,363.53",1374.02,"1,374.02","2,116,390,000"
2-Jul-12,"1,362.33","1,366.35","1,355.70",1365.51,"1,365.51","3,301,650,000"
29-Jun-12,"1,330.12","1,362.17","1,330.12",1362.16,"1,362.16","4,590,480,000"
28-Jun-12,"1,331.52","1,331.52","1,313.29",1329.04,"1,329.04","3,969,370,000"
27-Jun-12,"1,320.71","1,334.40","1,320.71",1331.85,"1,331.85","3,286,910,000"
26-Jun-12,"1,314.09","1,324.24","1,310.30",1319.99,"1,319.99","3,412,940,000"
25-Jun-12,"1,334.90","1,334.90","1,309.27",1313.72,"1,313.72","3,501,820,000"
22-Jun-12,"1,325.92","1,337.82","1,325.92",1335.02,"1,335.02","5,271,490,000"
21-Jun-12,"1,355.43","1,358.27","1,324.41",1325.51,"1,325.51","4,094,470,000"
20-Jun-12,"1,358.04","1,361.57","1,346.45",1355.69,"1,355.69","3,695,700,000"
19-Jun-12,"1,344.83","1,363.46","1,344.83",1357.98,"1,357.98","3,815,350,000"
18-Jun-12,"1,342.42","1,348.22","1,334.46",1344.78,"1,344.78","3,259,430,000"
15-Jun-12,"1,329.19","1,343.32","1,329.19",1342.84,"1,342.84","4,401,570,000"
